236 1941
53 27 -22
146 17 -25
12 4 45
30 187 -15
104 202 21
171 189 -21
199 31 -16
82 0 -28
206 203 -47
155 196 -43
176 234 -46
152 29 18
213 134 -22
61 3 22
146 165 44
42 195 -26
185 59 -3
143 89 23
104 105 -23
219 191 32
93 87 3
192 194 -19
154 75 -18
159 49 17
38 48 29
166 148 13
158 131 -28
168 114 -35
142 158 -35
198 50 6
186 226 -49
27 34 39
95 131 9
165 48 6
66 97 16
83 117 36
23 65 16
207 224 2
231 15 43
116 200 44
207 98 -10
203 180 -17
219 153 -31
57 141 -22
59 181 -41
128 222 -1
81 133 -15
189 109 -37
172 97 -15
19 122 -21
177 172 45
13 110 11
102 39 -22
141 195 -29
176 81 -44
63 117 -20
198 177 -32
63 43 12
198 40 7
205 169 -28
184 8 43
93 201 22
28 152 -39
112 77 -46
202 178 29
212 41 39
21 130 41
200 185 5
57 199 26
57 191 -42
206 54 -1
186 223 -46
69 23 -5
95 202 25
35 99 27
41 91 -37
16 78 -15
37 43 -17
65 123 9
74 229 48
135 136 -4
189 94 -37
1 205 29
140 18 -22
104 159 -46
45 158 32
227 12 48
32 70 15
181 217 -23
181 194 -35
4 2 30
211 167 15
102 83 -16
25 28 -21
22 82 -37
165 133 29
15 0 -14
161 180 -43
182 26 44
156 119 -19
193 212 -30
2 22 23
140 172 -18
138 174 17
199 198 12
100 60 -48
22 7 -22
32 177 38
54 133 33
15 16 24
116 15 28
166 71 -30
117 32 -11
163 95 -10
165 119 -38
193 49 33
119 151 -27
48 71 -16
227 120 34
135 177 14
206 10 16
230 175 4
172 4 -48
37 149 -28
104 152 9
94 152 22
76 171 -6
154 229 21
62 185 11
75 225 32
163 202 6
193 222 -34
201 3 -23
69 60 -27
121 221 -15
195 144 22
40 100 -41
218 59 10
102 200 33
162 109 29
168 34 4
148 34 10
185 191 17
23 76 9
160 148 -39
188 184 44
123 28 36
43 51 -39
137 65 -49
19 42 49
76 140 -32
197 214 9
117 60 18
34 91 13
161 228 17
14 157 33
2 164 42
134 69 -30
89 153 -35
214 149 -11
170 104 1
2 177 -26
221 84 6
72 212 -3
152 217 -32
156 122 44
182 57 20
33 154 44
1 60 3
170 96 32
99 116 -14
213 174 -33
228 96 -8
138 214 -5
37 198 45
44 210 16
140 112 -37
206 85 -42
128 19 -12
67 200 -6
161 165 -40
133 228 -37
97 70 26
211 118 4
19 67 22
107 102 27
22 151 -43
48 162 -12
127 21 -31
219 91 47
151 93 3
148 63 8
198 141 19
71 144 -31
150 224 -44
28 122 23
222 33 -24
153 141 -27
109 19 -15
154 38 -41
223 9 -9
170 136 -32
73 13 35
193 159 45
14 133 20
97 119 -15
221 81 -22
183 33 -28
39 77 5
175 86 35
149 14 -42
12 122 1
175 224 -1
205 204 12
72 211 -16
114 194 29
94 183 -13
195 208 -32
46 190 -26
49 43 -26
224 114 34
46 18 8
235 113 40
76 97 11
48 191 7
229 0 20
223 226 13
104 71 44
131 204 7
19 196 -6
29 157 -32
51 4 -49
51 76 -44
201 149 -49
76 21 43
217 174 1
151 174 47
174 230 -3
58 72 11
74 34 1
44 98 12
220 100 35
104 188 3
222 81 -15
153 216 37
235 199 -38
88 159 -2
99 124 48
162 89 26
24 77 44
162 53 48
141 68 -39
181 127 -36
115 129 24
190 230 44
219 161 -37
181 11 -17
207 130 -19
109 151 17
75 50 -45
9 139 -22
50 34 -4
140 208 8
212 186 43
134 164 43
57 178 -15
36 139 21
143 213 17
234 8 11
158 92 -30
23 203 -27
32 41 8
54 178 35
224 118 -44
77 86 11
69 231 -31
87 125 38
225 151 14
179 48 -15
207 37 11
177 60 -33
118 136 49
28 176 17
66 47 -15
117 68 2
98 77 -42
98 229 -14
15 19 -27
149 115 -45
214 153 46
195 187 48
46 227 22
18 89 39
124 156 -9
157 189 -47
25 166 -49
166 110 -23
199 77 -8
200 118 33
84 110 10
49 220 -48
69 50 16
92 43 29
7 109 -28
123 208 -45
137 152 -19
115 135 -24
26 54 39
74 51 -38
189 151 12
141 96 -33
201 35 39
153 77 36
205 214 21
11 55 -17
138 109 -50
65 117 -26
17 179 -4
230 167 46
200 101 -42
21 74 -10
140 155 14
10 170 3
151 123 -31
163 115 38
122 149 -18
191 74 -41
111 185 40
178 194 -25
204 190 -35
31 36 -28
139 181 -49
85 186 19
92 232 -35
60 224 -24
153 183 49
49 10 -9
53 95 -32
75 106 -1
59 174 26
12 10 -12
197 202 -33
45 54 10
31 30 39
59 11 -23
205 23 28
47 176 5
117 223 14
191 44 -25
80 22 -9
3 231 34
129 214 19
37 190 -31
101 120 -29
63 30 1
35 159 3
24 7 41
32 1 33
101 135 -20
188 111 -5
219 11 -45
197 144 16
12 179 2
165 38 -10
227 67 45
103 157 43
11 27 34
9 3 -20
118 95 9
121 132 -13
117 131 41
97 15 -42
125 82 -7
116 16 -46
220 158 -40
229 65 18
189 132 -4
208 131 14
111 115 40
81 12 18
112 47 -34
19 172 -36
5 60 37
229 41 -43
200 227 -44
58 141 -35
102 143 -43
207 167 -28
34 173 -17
39 31 -36
73 28 12
171 34 -22
147 83 24
6 138 -3
78 13 -30
229 47 -17
61 226 -36
224 100 40
83 153 20
90 159 23
203 30 -15
192 110 37
93 21 26
120 177 3
12 210 -18
56 135 -32
111 221 26
228 7 -46
23 127 21
144 219 1
218 91 35
160 191 -42
8 92 -19
152 219 -45
96 165 36
33 132 34
20 210 -20
133 235 32
83 21 46
40 18 -46
9 106 -30
65 174 -42
110 163 6
161 29 -41
102 228 42
86 58 39
134 192 17
187 83 -26
172 175 -29
75 138 -47
88 135 14
44 14 10
151 126 19
62 145 -47
155 21 41
82 97 19
167 71 23
232 108 -43
109 108 11
2 129 44
17 2 -44
200 161 44
113 96 35
48 137 18
146 36 45
50 166 29
24 39 12
31 105 30
123 209 -39
10 56 -15
204 20 42
28 57 -3
103 29 -33
119 205 -13
164 88 -9
65 21 -24
3 14 -27
35 168 34
84 0 -34
145 114 29
50 224 -24
140 24 -2
36 194 31
108 17 -36
180 93 47
107 208 12
129 104 32
0 56 13
16 196 -8
162 103 -4
198 230 17
116 53 -26
183 126 34
184 72 -14
70 133 14
131 68 19
163 209 41
19 79 -39
72 191 43
45 43 -11
144 59 27
161 58 13
111 144 27
21 72 37
22 20 -30
84 119 -14
28 234 46
214 94 38
120 209 -36
7 9 14
167 42 33
21 163 42
101 97 -21
113 108 -35
208 75 10
92 68 -44
122 49 -35
184 62 29
90 126 12
14 186 -4
48 37 46
69 57 -16
222 168 -33
72 173 20
132 45 11
191 144 -34
46 77 -41
148 129 -42
106 211 -23
214 190 31
82 56 34
1 219 -23
215 178 -27
50 43 26
74 192 -1
34 205 -42
189 185 -10
34 130 -27
133 22 -43
168 188 -27
82 230 10
9 134 25
203 68 -24
229 146 -41
184 156 -34
207 168 34
229 99 40
33 227 -10
119 114 27
34 169 25
205 156 -33
132 16 31
71 84 1
104 9 49
217 135 -17
130 24 -28
228 165 28
122 112 -31
138 216 12
183 191 30
45 123 23
78 24 -41
26 164 32
67 201 14
34 219 -47
178 4 -10
78 22 -35
33 187 28
222 196 45
229 205 -30
198 172 8
80 141 -10
40 131 -39
191 16 -38
94 132 13
134 16 -42
184 214 35
118 60 48
192 99 42
222 202 -50
134 222 13
162 149 -24
0 44 -23
127 153 -26
44 35 31
195 185 10
216 171 -23
202 162 -24
203 130 -17
69 107 38
125 61 36
37 168 -8
108 142 21
194 102 30
170 72 40
165 156 36
72 229 2
174 229 16
100 223 41
6 159 -49
162 14 -48
58 73 -5
138 201 -16
59 178 33
165 200 -41
111 159 3
36 216 -42
25 186 -18
22 149 2
48 5 -25
221 1 -32
163 17 -36
113 173 31
77 74 34
145 82 16
211 131 19
81 173 37
72 163 5
100 198 41
162 154 -32
22 17 22
124 171 30
46 59 -15
153 189 5
116 226 -38
205 55 2
120 182 25
147 208 27
198 0 40
49 138 -26
73 60 15
158 127 19
233 228 -30
113 63 40
166 181 -9
141 137 9
207 20 -40
220 31 20
164 81 -42
219 207 -35
133 184 -18
218 96 -8
114 80 -17
55 11 34
14 1 -34
34 140 30
136 126 9
91 32 32
28 158 1
60 155 49
51 141 -17
2 163 -6
64 208 -40
226 20 49
18 122 10
44 17 -14
211 85 -18
170 176 -31
146 161 48
62 50 -40
46 194 32
69 186 42
142 185 25
186 20 -46
28 36 -12
76 214 -26
127 83 7
233 55 2
224 196 -9
199 117 34
218 232 15
176 180 25
3 11 -15
213 63 4
76 88 21
66 62 -47
33 221 -49
126 30 -7
233 108 -37
199 216 46
44 179 -27
232 82 -15
62 101 -19
54 100 13
227 110 18
234 145 -14
118 35 -25
167 186 -14
117 41 35
187 170 -25
197 106 -41
37 134 42
96 24 -40
37 52 27
173 179 43
230 136 -45
199 23 22
85 195 -15
216 98 -36
170 60 44
146 74 26
136 181 -27
205 34 -18
205 162 8
20 44 -3
126 213 34
203 140 -41
37 137 41
128 98 -3
28 79 47
226 205 -49
110 53 -47
178 137 14
109 139 -23
40 233 -47
85 210 28
126 163 8
52 11 30
200 215 1
175 18 23
69 115 -19
76 116 -45
147 139 -32
158 91 -46
23 36 31
169 13 40
35 173 14
35 121 -42
65 37 18
123 221 4
21 201 -18
36 184 -47
219 135 21
27 19 -47
210 225 -50
106 143 -14
173 24 -45
71 69 49
157 188 -8
74 75 46
87 182 35
201 197 6
14 132 4
83 224 -9
227 186 -4
102 199 -2
217 140 43
118 64 10
76 168 30
220 175 -49
224 206 -44
197 98 -16
172 149 33
73 38 -25
14 79 -18
227 181 -17
135 57 -47
140 227 -49
2 166 6
144 117 40
224 116 -8
80 96 26
111 67 -25
186 162 -40
77 165 9
22 183 -49
230 234 30
95 211 32
220 138 1
2 161 -42
224 103 49
31 24 2
177 155 -39
134 172 -5
99 126 -17
10 81 -13
158 85 -15
110 142 -6
68 117 31
50 69 -18
149 167 -28
225 150 39
20 58 23
226 142 -25
140 7 -32
218 166 -26
44 40 24
207 186 10
161 167 -43
53 210 -49
178 135 36
201 146 29
2 143 -30
220 129 -29
105 188 -20
31 163 -36
158 135 -43
112 106 16
64 55 28
87 7 -44
234 30 -43
180 206 40
52 142 8
216 225 2
167 17 41
1 17 16
141 94 36
214 170 14
64 190 -20
14 223 -28
45 25 -32
157 132 -35
116 233 -25
207 79 -5
60 92 -33
0 53 -32
27 99 36
93 19 -19
154 132 7
153 142 40
62 55 5
53 138 -7
1 156 -1
212 73 41
100 109 -7
162 2 49
162 58 -4
224 56 35
220 1 28
133 180 -46
57 171 -16
6 108 36
121 56 -12
135 41 49
165 139 -4
190 55 17
189 50 -33
128 34 4
222 77 -43
192 167 37
125 153 2
39 35 -11
175 27 29
34 70 -49
72 106 3
90 23 -10
176 203 9
51 134 -10
59 35 29
176 152 -43
109 158 -29
180 178 35
83 142 -24
99 165 43
121 168 47
212 199 -28
50 74 38
113 235 3
179 73 46
27 106 -1
222 153 -13
29 117 -10
182 235 16
150 194 -9
198 152 31
161 169 -9
7 106 18
165 12 -2
15 222 -24
233 146 -4
34 121 -13
163 104 -3
64 1 -35
149 178 46
172 189 -49
144 11 -30
209 40 43
194 30 29
56 96 -13
45 212 17
107 198 20
163 164 -29
74 172 -11
140 165 18
60 199 -36
28 155 10
12 55 -35
18 21 28
136 156 -20
5 155 -50
149 209 47
176 134 -36
176 26 -16
67 226 -13
28 91 -41
174 12 26
219 81 -4
52 122 -2
231 136 1
207 74 -28
213 138 -48
227 118 1
180 173 -20
9 73 37
20 109 -8
13 193 18
159 60 20
77 215 -26
200 122 -32
135 86 7
14 203 18
178 60 -39
199 164 -21
177 171 -23
192 216 37
231 60 -22
18 85 -25
174 119 -4
71 34 24
227 194 13
135 115 -16
135 137 23
99 36 23
219 31 -40
152 30 39
71 74 35
173 1 18
157 32 -7
90 185 20
184 45 -23
17 14 22
25 221 -33
69 30 -28
116 155 -10
130 203 -31
111 188 3
34 155 -43
97 93 -16
33 2 -22
198 123 -46
120 190 -16
133 50 45
64 53 2
123 73 12
142 34 -16
21 167 -48
71 158 13
45 205 20
113 73 -47
184 42 46
22 113 43
89 169 35
198 127 20
180 9 -41
187 229 -2
180 13 8
22 182 1
37 227 -14
96 56 -41
3 82 -29
109 171 33
92 194 -34
114 17 -38
150 188 47
93 24 -49
41 225 -1
65 23 -46
116 7 24
32 35 15
53 194 2
148 105 27
179 199 18
62 118 -8
100 12 -27
0 66 -24
1 214 -5
35 73 14
160 158 41
14 190 30
218 159 -32
111 37 -14
128 1 8
148 29 -30
173 165 -18
54 204 -6
43 27 29
197 125 49
5 94 15
22 135 -13
45 138 -23
229 102 -37
179 71 9
28 64 28
142 215 18
46 109 -26
37 6 7
65 223 31
91 65 -38
185 81 3
16 69 11
174 145 6
79 208 -8
95 49 -37
196 33 -27
210 11 -17
192 81 18
196 208 7
206 82 -24
72 165 31
50 157 -19
44 164 -23
184 14 25
217 160 -32
163 42 10
50 147 -46
171 149 41
178 112 24
71 228 3
29 77 -2
106 8 30
139 72 37
195 41 24
49 157 35
169 53 -14
63 213 -16
100 0 -17
