809 8314
434 444 42
287 508 -2
712 270 -33
302 688 33
192 24 34
278 38 -3
784 202 48
771 611 -44
153 247 -48
19 146 -13
378 591 25
82 707 -20
139 611 -24
689 400 45
737 405 16
783 167 44
675 735 -14
358 642 28
57 367 -35
664 331 -30
71 594 44
347 412 -44
633 584 -15
571 251 -45
230 669 46
446 421 17
221 662 28
706 513 46
246 679 13
494 262 6
301 517 -21
397 183 -3
248 614 34
495 132 -37
89 683 20
695 171 6
526 693 8
148 481 -50
620 389 -1
616 722 -14
299 539 4
773 402 7
383 279 13
600 395 1
436 778 -40
64 625 -23
405 329 -1
675 721 13
199 203 25
605 212 -28
95 346 -34
198 130 -46
448 332 -42
782 751 19
118 179 8
592 512 4
456 208 -30
591 42 -9
374 607 -50
49 144 17
625 512 35
555 113 38
401 83 -49
532 376 -10
539 511 -5
730 562 -39
355 742 -44
328 335 -46
787 646 32
478 677 -9
87 148 30
586 803 -22
37 142 -6
546 606 -37
744 219 43
568 129 -22
191 118 3
573 788 29
755 393 9
251 101 48
475 638 23
804 191 -27
660 529 -12
65 640 -6
599 49 22
249 478 40
533 242 -18
793 462 8
567 348 20
135 696 20
262 219 -8
548 238 -27
50 416 -28
806 501 -46
571 486 -29
753 266 36
803 144 44
456 225 7
706 13 26
798 232 44
220 527 -37
525 274 21
62 423 -35
364 756 -29
679 394 25
619 183 -31
3 47 49
701 343 19
378 61 -36
630 133 23
663 645 -8
226 733 -46
375 394 37
330 204 35
153 154 17
679 329 -20
155 603 18
232 451 -46
300 46 -19
275 287 -44
214 550 -4
195 449 -27
623 788 9
472 310 -16
606 638 -38
510 265 34
781 667 -22
555 236 -3
184 678 -48
499 225 -5
693 410 43
168 676 -24
170 704 10
609 309 -2
11 461 34
505 732 38
252 342 40
460 272 -29
139 327 20
792 700 -25
776 716 11
686 209 41
12 674 -32
349 231 -26
393 727 23
202 362 -28
639 124 -2
389 205 33
720 566 43
232 586 3
106 599 32
721 331 -43
770 617 23
579 203 -5
598 8 48
51 507 -12
315 236 8
726 684 -28
720 598 10
392 784 -5
668 186 -42
503 584 -11
6 536 34
427 496 31
707 92 -8
787 56 7
281 264 7
659 423 -40
178 510 -8
389 102 25
623 200 -42
431 556 46
666 106 -36
680 85 -37
464 355 2
652 312 32
530 552 44
603 349 -27
55 149 -3
343 385 10
531 286 -38
58 318 -13
14 397 37
651 209 -41
392 414 -13
190 376 28
726 300 49
167 488 49
11 270 -17
598 731 -32
571 276 25
303 33 -43
203 526 25
386 326 -41
512 233 13
88 485 -2
398 300 1
711 128 8
390 244 -14
355 399 -14
186 445 -23
12 340 23
402 498 -27
667 50 -20
195 168 7
498 430 12
390 482 38
544 472 5
232 718 44
630 402 40
75 312 -20
353 694 -22
736 751 25
309 483 38
269 699 -34
676 330 -13
112 806 -13
591 360 -49
206 655 -19
348 17 26
7 155 -39
502 449 -38
424 251 37
671 221 -8
176 126 -10
330 486 19
437 588 -45
736 372 -30
509 732 2
271 644 15
705 473 32
801 735 -45
771 663 -38
128 753 29
565 572 40
272 350 -44
602 127 11
751 264 -27
182 442 -48
287 460 -39
640 757 -15
551 199 39
444 571 -10
248 673 12
344 705 -23
728 143 -41
356 29 16
527 572 -4
461 236 49
564 358 -20
727 61 22
184 589 -35
803 9 3
287 204 33
505 110 -8
58 39 -9
141 9 -23
137 391 -8
15 787 45
346 12 -43
84 623 -43
353 232 -22
552 687 17
461 224 35
514 294 44
528 17 20
788 240 20
670 8 -44
579 316 10
321 253 -30
610 8 7
792 95 -46
729 450 8
715 553 -3
91 496 -12
306 295 28
749 417 -30
601 343 -13
361 711 30
5 108 15
628 460 -27
675 278 -9
205 762 23
2 106 -18
616 685 30
63 351 -25
610 285 42
177 114 17
481 478 -14
427 619 -24
374 744 4
349 190 3
211 309 46
615 669 33
592 331 -37
33 91 10
461 658 -45
581 713 32
76 476 -30
678 341 23
570 485 14
263 709 -12
516 756 -10
635 482 26
602 292 -24
241 668 21
764 398 -39
204 773 17
732 739 22
46 806 -41
440 90 24
578 565 -32
0 402 21
91 87 -39
110 499 36
600 78 5
337 758 -15
699 588 -42
298 339 22
518 481 -7
413 709 -15
708 185 -41
417 745 44
466 3 34
262 658 -9
670 573 -18
751 136 9
70 713 -18
164 313 -16
671 303 16
421 177 -10
507 71 -46
601 695 35
481 389 -7
210 523 26
740 43 23
488 162 1
796 502 -47
89 593 -28
626 59 30
718 520 -34
90 69 -12
67 13 -18
653 511 31
329 610 -6
370 129 38
22 371 -9
373 699 25
723 391 7
28 783 22
449 253 -31
172 338 10
596 235 18
490 279 1
807 465 19
511 614 -16
156 804 9
349 6 -12
691 336 -15
107 110 16
186 491 -32
334 613 15
571 361 29
241 270 12
589 485 -2
267 764 -19
385 681 6
332 615 -32
168 216 18
771 806 48
751 299 -30
729 573 -13
276 373 -21
774 372 6
142 521 -23
778 438 -35
609 229 36
623 358 -7
583 150 19
769 792 34
20 778 19
509 529 18
196 512 -37
744 367 31
164 92 1
319 648 -28
2 662 -28
666 466 20
525 170 15
638 14 -48
370 591 -40
782 686 -15
95 530 -37
240 475 -6
270 145 -12
651 118 -30
688 760 49
34 80 -49
295 738 33
398 449 42
87 12 1
435 304 2
75 388 -27
284 742 -27
44 502 7
422 574 1
191 415 -43
194 764 38
127 167 4
466 701 -32
163 731 -34
366 578 47
251 49 -12
209 56 40
290 231 -30
300 650 32
268 722 44
600 344 -42
64 800 -45
786 60 31
366 31 32
133 55 -47
704 108 -9
346 66 -34
11 27 17
616 253 27
162 643 19
571 722 -45
198 518 19
203 281 -16
794 543 38
404 349 20
595 493 11
452 468 -36
73 611 -38
689 481 -12
507 715 -19
702 278 42
448 541 -33
682 433 -6
725 706 48
32 700 42
248 225 -9
212 764 5
498 119 9
157 767 4
98 805 -2
758 562 -42
177 144 -34
90 713 -48
749 571 18
54 675 -23
181 153 29
528 628 3
246 96 11
380 392 -46
744 508 14
163 730 -22
308 377 41
28 442 -25
533 199 -3
413 303 19
424 768 29
278 48 -38
492 393 -9
495 221 -38
398 759 47
41 320 -16
707 467 9
363 83 -25
698 332 -41
245 508 -35
492 668 21
383 195 -2
217 718 -29
440 681 7
154 234 9
250 6 19
652 238 -35
49 447 -43
476 575 20
55 493 25
2 112 -35
369 354 49
270 405 -5
453 659 -2
258 473 16
789 64 -38
544 670 -37
763 90 36
752 344 21
99 765 -11
608 353 -43
50 669 39
382 444 -50
532 455 -25
267 576 12
63 729 12
387 611 -1
312 271 29
717 267 -12
471 687 -39
289 583 4
513 698 -34
354 372 15
242 362 3
5 791 8
414 473 -23
145 38 -36
103 326 49
279 417 34
672 778 -13
582 53 28
191 229 2
470 285 -4
452 188 33
415 163 21
283 112 46
191 274 -18
150 185 9
420 350 -2
385 163 -14
145 267 -14
342 786 22
613 476 25
603 238 15
488 558 14
766 634 34
644 497 13
111 351 41
642 783 -24
6 520 2
586 67 -44
640 381 -7
572 620 -18
446 383 -27
697 500 46
34 533 -39
111 774 21
201 594 4
361 619 24
45 642 -8
136 758 -49
103 630 -50
95 367 42
614 759 -34
267 34 -18
635 585 40
386 193 3
539 659 -10
166 689 -4
402 242 -25
198 121 31
126 47 43
211 78 -18
548 4 13
501 757 21
493 66 -23
691 446 -27
154 518 11
107 68 48
178 367 21
470 688 42
316 808 -50
33 497 4
649 443 -40
795 430 23
387 438 -7
326 287 49
176 239 44
509 367 46
341 764 -9
386 606 30
400 234 -39
90 33 7
88 523 12
759 234 -28
608 568 -36
363 561 6
256 163 7
403 46 42
326 472 -46
288 417 -41
613 574 47
632 770 -13
687 459 -24
579 622 27
399 637 39
304 664 -16
363 741 -10
402 190 7
614 735 -23
477 200 24
321 111 -1
540 788 4
753 691 -18
47 96 37
37 166 -47
112 672 -38
697 527 -30
294 202 -29
217 639 10
418 464 10
7 701 18
370 345 -47
672 397 10
206 118 -1
379 760 -50
292 733 48
561 268 42
522 425 -14
333 508 -27
622 92 -42
214 470 -13
359 785 29
131 808 -45
329 552 20
502 555 -23
282 584 -2
545 622 -21
34 400 26
538 317 7
59 609 -8
764 236 -34
798 239 48
761 351 -28
321 584 -4
207 99 9
712 195 -26
759 200 47
24 598 -33
350 781 -21
679 90 10
429 649 21
523 179 27
163 196 34
250 346 -26
418 689 -3
110 518 -43
453 128 -4
244 613 -16
362 475 -3
23 223 28
268 336 14
564 672 2
756 630 31
646 40 -36
165 262 -23
118 46 -49
716 731 -43
440 337 -17
60 97 14
592 17 16
552 187 -1
379 9 49
535 339 18
665 534 8
679 441 48
20 515 24
410 651 -4
720 174 -19
22 503 14
437 48 -19
421 95 45
249 436 -38
768 342 -45
526 18 14
322 673 36
519 115 -7
774 552 -24
132 599 26
335 521 -17
149 357 41
344 685 21
44 75 15
142 381 -33
580 329 -8
420 426 -25
716 213 -33
295 638 8
404 311 -15
324 796 -7
359 117 -1
684 170 -34
210 361 -14
685 397 21
223 702 -31
543 69 8
657 233 -26
493 513 -15
277 399 -43
557 320 -30
128 787 -20
799 449 -12
585 349 -27
674 207 -40
60 330 36
85 546 7
758 480 -45
768 793 36
179 649 -10
514 688 -40
547 59 -4
691 632 -40
425 187 21
728 489 -11
292 504 -9
439 323 -12
596 544 36
629 53 31
461 525 -1
377 508 -40
220 559 49
115 719 -47
312 670 -50
126 109 35
138 176 12
651 719 13
573 435 -17
29 308 12
599 748 -24
228 599 30
734 609 -41
348 32 26
669 385 45
331 250 12
570 456 -3
115 512 -46
210 531 44
165 13 7
754 773 -24
716 451 21
549 517 -4
682 634 -19
490 40 26
174 396 -11
287 60 18
88 238 11
669 250 46
336 510 -3
785 488 -19
210 212 22
784 286 18
197 769 -35
337 773 13
423 17 -8
296 22 -4
165 586 -48
583 100 46
298 550 35
586 34 -33
179 167 -19
771 615 -17
107 603 13
424 219 -25
618 750 -32
697 713 24
759 50 -29
226 378 14
620 788 -39
698 704 14
366 88 -34
443 18 25
411 245 36
137 0 -32
624 246 8
538 290 32
429 152 -23
531 90 -49
693 2 -11
632 489 41
445 648 12
51 36 22
435 191 42
679 270 -20
26 255 -24
795 126 12
11 116 -12
139 525 44
233 389 18
460 614 33
316 273 46
738 690 7
367 281 -26
342 191 36
551 136 45
577 628 38
285 122 -13
500 346 8
53 633 36
150 320 13
328 697 -7
395 226 -13
537 234 -19
498 700 4
284 144 24
502 158 -43
635 298 44
135 518 -47
689 761 1
281 533 35
707 695 26
697 593 32
424 267 -1
653 607 -31
391 175 42
656 506 -38
553 390 21
233 25 -26
668 35 44
558 746 30
507 57 -25
532 201 -10
391 288 -47
584 574 -33
282 415 16
