156 1257
92 151 -9
88 93 43
154 153 22
75 88 -5
19 90 -11
15 113 48
85 111 1
73 149 30
75 59 1
0 9 -41
131 30 -5
47 135 -19
22 56 -50
82 36 -28
3 123 20
66 32 41
58 77 6
107 134 -18
61 123 -1
38 65 18
43 129 -9
111 86 41
33 145 -34
153 79 -17
82 150 -12
18 150 12
42 72 -29
70 85 25
77 149 47
128 5 -32
71 59 -42
45 119 -15
151 68 -40
141 8 -44
137 119 2
47 87 5
44 127 41
133 87 -17
155 67 9
112 61 46
103 121 38
84 35 -38
35 101 42
130 6 15
66 72 32
128 2 39
4 109 -26
11 130 28
88 101 -20
64 89 -23
123 67 -14
6 71 -35
139 143 1
98 152 -21
118 40 -12
153 0 20
40 67 12
12 48 46
13 47 47
115 26 -11
68 102 42
32 21 7
77 76 -24
102 56 47
114 102 -1
49 59 -2
120 44 36
0 151 39
15 42 -44
138 117 -42
68 106 6
58 72 -42
78 109 37
34 85 -22
86 8 45
152 28 29
152 87 47
91 65 -10
122 45 -48
37 76 39
149 25 48
144 3 -42
151 62 -30
38 113 27
55 29 1
101 144 31
144 47 27
106 111 19
20 103 -7
136 83 -37
121 126 45
14 149 -27
71 65 -45
67 145 46
26 21 -3
134 152 9
28 127 11
46 34 -45
142 141 21
100 25 16
148 22 -34
57 22 8
87 114 -49
48 126 40
76 82 -8
109 154 -49
58 131 -27
30 86 8
30 32 -8
88 151 -30
33 118 -28
117 125 -25
146 18 6
32 37 -13
50 7 -25
5 150 45
24 52 5
4 121 45
136 103 11
75 131 -32
134 125 27
148 6 -50
5 80 5
30 56 -1
55 81 43
34 37 -13
94 37 41
3 58 27
135 66 -14
89 57 -7
112 97 -42
100 114 -9
61 79 18
45 65 8
153 107 47
95 9 43
97 64 -43
38 14 22
39 96 -33
98 60 31
129 94 11
32 56 -1
103 123 36
84 106 -39
82 23 -29
126 47 14
28 108 -29
151 61 -37
28 120 -11
56 11 -11
86 14 -19
1 55 -37
2 33 39
50 90 23
73 85 33
113 22 13
14 61 28
128 25 -31
23 21 -34
34 57 -21
5 67 -41
79 55 -26
46 83 -26
142 75 9
46 148 -4
54 138 -7
109 67 -17
35 147 -3
142 31 -24
104 0 6
143 103 -45
137 2 24
7 138 44
21 109 -30
6 30 -13
32 44 -38
113 94 -17
100 73 -49
0 79 5
61 39 12
144 107 32
116 130 49
149 0 11
79 72 1
65 44 17
64 30 2
153 116 13
99 42 14
15 14 11
155 45 -45
111 1 28
45 98 6
155 111 14
113 5 -15
114 20 -49
74 116 -25
48 59 25
136 111 -47
9 11 -50
28 90 23
92 132 -41
72 27 1
64 141 -6
47 29 -13
43 15 41
111 24 -39
77 101 20
94 82 24
26 147 -41
49 43 12
75 67 5
75 30 34
54 27 2
133 57 28
42 67 -16
52 33 1
112 32 18
87 98 -42
8 24 34
51 84 -16
149 59 23
27 122 -16
77 127 -24
55 110 -50
114 63 -25
34 148 -47
28 12 3
90 70 43
82 139 -39
66 149 -23
109 9 -25
93 125 -28
34 111 -32
82 5 17
131 105 -45
27 128 -19
135 150 43
95 62 -3
7 47 49
35 0 1
103 125 28
140 39 19
7 35 -30
91 108 -23
33 48 -50
148 2 -11
44 57 21
68 134 -37
138 1 5
52 118 -11
47 117 -14
3 135 -26
72 70 19
63 138 -22
140 138 -6
40 121 35
97 153 26
147 75 -37
141 22 -34
103 119 -13
134 120 -39
58 94 33
61 35 -30
125 105 -21
122 35 39
9 67 33
147 59 -12
147 109 -32
128 10 -6
18 108 42
50 150 13
32 79 -7
76 123 23
144 96 33
9 55 -4
145 8 42
52 74 -6
5 64 -25
34 20 22
4 27 7
127 60 6
78 135 -4
117 138 -50
140 115 16
35 50 -50
127 148 1
76 143 37
148 111 24
109 93 18
49 119 -36
141 98 19
124 52 -31
25 21 -34
118 51 41
97 38 30
128 137 44
97 6 -15
82 140 4
110 94 -39
101 119 29
145 75 42
97 133 -22
135 95 -38
70 91 -47
87 92 -21
93 15 -30
134 35 32
7 97 22
67 43 11
145 122 -34
22 101 43
100 117 -13
127 80 -45
76 36 -3
96 149 -48
61 31 -19
23 58 -15
139 155 5
145 40 -29
146 45 42
121 65 -26
119 70 -46
71 73 -31
52 32 8
104 37 -38
101 139 -30
150 59 -46
30 152 7
19 80 -18
4 125 1
106 102 -44
97 109 -13
153 131 -47
42 153 33
15 132 -13
18 118 -43
152 103 -40
60 51 -48
4 57 -14
155 120 9
59 91 -11
112 128 10
137 112 -50
134 61 5
13 7 -36
92 86 -14
135 114 -42
59 23 -26
47 128 -6
16 8 6
55 73 34
144 145 19
142 114 -14
86 123 -30
24 117 -43
70 113 -1
111 59 37
118 2 21
150 106 -9
75 144 -37
76 86 -3
57 51 -10
72 74 -41
3 34 18
81 65 -49
83 15 7
92 115 11
106 46 18
127 1 15
133 124 9
95 45 10
110 2 -21
16 91 49
50 94 36
132 74 -36
14 124 16
140 119 6
6 19 -5
75 0 9
97 69 -4
24 85 -33
27 140 -34
99 39 -32
135 4 11
49 115 4
80 97 -34
18 83 12
146 72 33
53 55 20
56 52 -49
53 108 -31
118 7 -32
8 29 31
133 44 25
83 81 12
65 149 26
63 71 7
127 29 13
109 122 -24
77 126 30
75 133 18
70 64 13
0 23 43
120 56 -9
139 149 27
117 10 -27
77 133 -19
91 150 -37
151 22 -42
75 132 -21
107 111 17
87 23 32
12 36 20
92 13 -41
43 78 -16
148 59 -4
53 61 -18
84 151 3
32 106 26
144 59 -29
78 112 -17
110 64 31
85 87 -40
136 86 23
80 33 -24
51 136 15
84 32 -26
144 82 4
54 112 23
103 39 18
114 149 -18
40 145 27
58 10 19
96 24 11
54 50 8
114 51 -10
73 133 22
25 2 -2
25 46 10
133 39 21
151 45 9
51 65 45
69 144 29
63 10 -33
72 0 43
52 112 9
11 121 -49
99 154 -41
114 56 -50
105 17 7
34 81 -11
109 100 29
25 43 -45
37 142 31
79 100 -46
83 66 -45
73 142 46
10 76 -27
98 130 -30
150 115 34
5 100 -16
49 121 11
23 78 -31
59 133 -28
68 24 -7
118 138 41
85 62 -40
146 102 -46
117 20 -2
7 11 -20
108 74 -29
153 9 -2
82 47 10
47 104 17
70 49 -29
91 58 5
105 119 -49
3 55 49
88 38 -50
135 86 -21
144 129 5
144 8 -49
152 15 -22
4 128 13
127 86 27
47 53 31
121 4 -20
15 64 -43
136 101 9
44 143 6
134 0 27
25 91 26
71 147 25
153 141 -30
15 21 -36
37 36 -22
25 16 49
100 52 -9
4 147 8
21 30 16
116 54 19
67 87 33
64 57 -28
116 74 47
72 112 6
153 150 -47
80 119 -47
134 153 -27
16 146 -23
35 83 -1
106 77 -19
61 143 -30
35 91 -23
91 21 -10
133 146 27
98 47 45
142 57 15
138 53 3
10 126 -40
85 79 28
108 54 -28
24 1 10
97 19 29
75 6 -42
121 140 -11
29 107 -46
14 151 49
78 72 20
103 57 21
57 66 -15
153 142 -27
79 149 -30
111 150 35
53 120 -42
98 122 16
94 56 43
130 49 -15
13 63 -48
115 6 18
54 43 -32
153 12 42
7 102 20
53 22 -28
45 44 -50
114 54 3
57 72 -37
151 27 -7
28 131 -9
81 105 43
85 133 -17
86 112 -42
19 97 10
118 73 44
20 9 -5
116 20 -5
135 63 22
125 63 39
44 35 -19
3 90 1
112 72 22
131 23 27
94 134 -40
114 29 -18
78 131 -20
130 66 10
55 18 -15
143 39 -47
152 99 -48
115 155 -33
99 6 1
112 64 15
137 67 34
20 82 31
130 80 25
137 107 -29
68 48 -4
128 55 -1
7 85 18
3 25 -25
6 98 24
35 109 -31
45 113 6
114 88 -16
107 103 14
54 13 -33
145 46 -23
0 99 -16
65 53 -47
101 46 6
112 17 10
142 113 42
71 21 -19
47 106 -25
137 29 -22
48 64 -22
152 138 40
136 132 -10
54 20 -50
39 101 46
85 8 -37
72 144 49
100 62 -28
60 124 40
44 101 10
53 152 17
76 24 -3
26 151 -41
51 45 18
87 140 20
5 95 12
12 87 9
96 79 -33
41 56 31
55 61 -2
70 38 -50
123 115 5
73 140 11
50 33 10
44 135 46
72 28 24
12 142 41
75 95 30
119 7 48
44 16 -38
111 132 -45
144 48 45
46 109 39
25 38 15
123 15 -40
130 31 -1
79 31 27
77 93 3
107 124 42
32 85 -25
100 70 -7
70 34 -16
89 16 40
107 55 -43
64 72 -20
94 54 10
88 37 45
35 40 42
87 59 27
37 52 -45
13 151 -9
88 5 27
129 13 30
22 131 32
73 79 24
44 31 22
44 68 11
96 104 19
3 139 2
60 4 -40
117 18 30
45 6 29
106 146 -34
128 20 -7
6 142 -19
18 99 16
107 76 11
146 2 5
5 2 -33
82 13 -18
137 20 34
22 48 -21
136 94 39
5 110 -18
97 1 15
72 152 -31
33 22 -14
56 28 48
21 94 22
106 94 19
125 96 -18
10 129 33
