977 7783
975 102 -29
532 771 18
454 866 35
515 136 -41
81 165 -38
890 440 27
726 685 24
450 703 40
314 103 -36
637 718 -2
677 140 -15
384 183 -17
269 85 -19
971 448 35
108 533 28
307 662 -17
79 578 34
648 596 -41
583 457 45
191 675 -3
701 910 -22
653 160 -49
81 708 19
953 681 14
910 778 -18
208 90 23
62 795 -49
659 473 -19
146 210 46
955 376 -49
880 289 14
758 27 5
824 602 -37
46 332 43
71 150 -28
704 869 -22
830 306 3
281 764 35
242 207 -1
100 107 46
37 839 22
508 325 -20
398 782 26
505 807 -44
893 438 -11
452 413 7
357 256 34
20 680 14
454 52 35
123 227 24
123 6 49
374 856 44
181 703 49
522 564 4
650 20 -14
769 396 -45
412 688 14
755 493 37
943 615 47
582 520 -39
92 667 -29
294 851 46
540 928 10
933 344 -34
612 142 1
97 455 -41
736 225 19
969 866 -23
491 170 -42
492 814 40
285 567 31
790 264 6
966 219 14
222 485 -28
61 177 7
507 843 43
580 911 -3
418 969 -7
205 473 -16
23 388 18
573 899 26
155 922 6
109 107 34
506 886 -6
186 821 -9
162 112 12
581 150 -11
160 905 -26
707 905 25
344 720 29
841 60 11
263 876 32
594 141 -4
108 800 -29
330 690 -36
49 581 -15
536 540 -33
934 144 -18
547 254 13
777 384 -22
113 627 6
639 714 -34
231 818 7
971 229 8
12 124 41
367 641 16
341 420 -27
758 477 13
10 414 -2
275 799 19
16 387 29
767 403 19
961 45 35
800 305 39
78 429 20
913 263 5
815 182 -7
728 219 27
128 263 -11
530 381 17
559 749 -3
35 27 -32
634 27 46
638 834 -18
532 176 -32
749 54 22
629 255 19
654 2 43
305 47 -9
481 360 -34
919 196 17
29 596 -46
693 907 -43
395 142 33
478 754 27
93 670 -29
209 639 9
803 722 45
804 40 -39
38 737 11
22 66 -24
554 703 -46
147 645 -43
826 748 -3
0 755 39
733 255 -12
660 736 -31
322 34 -36
805 938 -45
210 370 16
96 368 40
207 263 43
567 122 34
621 248 -3
342 488 -19
747 901 7
961 510 -29
512 514 -18
931 378 31
609 435 -12
707 852 -45
318 934 -21
739 514 -25
116 612 35
353 293 -34
398 373 32
575 174 -5
406 483 31
766 688 -36
683 547 -50
524 885 -42
175 418 14
434 802 -13
973 836 -40
64 837 -36
488 560 19
603 162 -14
476 698 37
53 336 28
503 65 -1
807 816 38
480 363 13
265 420 -48
508 452 -27
5 907 18
286 491 49
225 587 -44
578 158 19
228 812 -14
685 294 9
943 951 -24
720 853 31
134 161 48
692 299 -27
756 143 9
542 864 -45
354 654 17
750 512 37
647 79 32
916 478 -39
559 594 -17
619 820 31
599 288 16
648 857 39
545 142 48
255 197 34
417 347 30
85 692 -13
961 319 -44
494 302 -8
897 414 -13
64 874 -10
805 444 -31
164 211 -44
435 235 -49
437 283 -5
699 637 -49
181 962 43
336 510 2
760 740 -29
36 623 -24
2 494 21
730 373 14
415 435 21
241 970 -11
937 858 -3
735 417 8
205 187 -28
423 385 27
36 667 -10
833 913 -28
667 462 -47
597 451 -27
251 435 24
453 531 -19
44 405 -44
597 485 -10
889 334 16
163 410 11
108 24 34
735 292 -11
359 259 -12
764 447 2
336 44 -27
687 39 -12
902 476 -34
312 412 7
401 422 4
64 324 -5
323 513 -17
796 289 -1
622 229 22
465 862 33
772 874 12
663 600 -27
889 344 46
721 885 -48
503 930 -17
72 741 10
914 2 8
320 516 -1
25 660 32
866 465 16
86 844 -9
140 792 -28
472 526 -37
710 113 -6
384 28 15
478 123 34
732 120 -26
856 403 47
851 700 15
205 266 44
768 650 14
269 385 -6
447 780 29
921 809 16
959 819 -36
22 842 6
325 264 -31
426 659 -17
605 464 26
673 249 48
830 879 20
67 748 -26
186 355 -36
936 65 -11
920 503 -47
164 234 -41
63 862 -23
623 481 -1
583 111 -42
637 293 13
526 285 -16
861 674 12
146 41 -18
374 884 6
926 595 1
849 812 34
8 434 27
299 588 -46
737 156 -5
932 22 -30
565 239 -16
802 102 26
859 404 20
334 563 23
17 909 5
770 80 -44
127 343 -28
626 286 35
151 414 34
934 1 6
540 124 -49
633 812 49
362 423 -23
747 62 41
273 554 14
480 741 -26
729 950 -33
534 365 -33
811 796 -2
471 214 46
251 617 47
972 823 37
271 170 40
299 152 -4
809 132 -41
88 331 32
928 731 -22
656 237 -28
885 249 44
188 583 -15
408 524 -20
847 590 -2
436 932 35
320 794 29
76 477 20
142 743 24
195 974 -4
48 893 31
