187 1409
125 94 -40
12 67 -1
127 42 46
76 67 -28
185 56 -42
147 80 -7
106 90 11
101 112 21
130 186 44
172 140 -41
129 6 8
121 85 -49
101 74 -23
128 37 38
54 15 43
53 68 -44
94 14 31
74 51 -4
171 76 15
38 68 21
161 167 22
48 139 -11
157 81 -44
52 158 2
11 117 -11
13 99 -36
179 169 -35
64 150 47
131 34 32
85 68 13
24 30 -40
156 70 -38
109 132 40
173 114 23
97 155 -22
8 126 -24
86 67 -4
46 120 -21
117 53 -37
30 108 -30
56 70 17
11 105 41
169 81 12
103 142 33
8 108 -43
18 121 4
109 181 -44
52 111 27
81 169 20
62 103 45
100 109 13
180 77 21
93 174 -48
144 70 1
144 38 37
176 95 11
142 4 -25
20 8 15
87 176 -31
142 138 23
94 101 15
4 173 -43
99 7 -6
8 170 -31
75 141 -35
116 168 -4
35 92 -41
11 116 28
39 11 47
17 47 -45
91 80 -37
130 98 -35
177 170 -2
16 164 -3
146 82 -32
172 24 -26
152 156 -27
73 183 6
131 1 49
60 158 38
4 25 24
90 114 -4
149 121 37
26 59 12
162 148 -9
74 88 24
94 90 21
107 1 46
30 92 16
71 128 9
166 130 -41
47 63 30
177 26 20
122 19 -34
162 83 34
131 109 35
87 25 -48
101 157 46
65 177 -13
174 41 3
2 26 21
36 140 13
134 183 -35
152 28 -26
151 121 36
21 128 -3
25 7 49
178 51 -21
101 143 21
4 68 -1
65 121 -47
51 10 31
131 5 -7
12 17 -2
19 69 -12
162 52 -27
171 69 -37
98 118 16
184 141 -26
83 11 -5
62 44 -47
138 144 -34
143 144 33
100 137 -41
22 35 -30
179 57 36
176 128 -18
68 81 -50
6 76 -15
146 137 -41
75 90 11
172 159 -29
49 16 16
67 102 -16
25 41 38
4 99 -49
124 94 -41
142 165 15
100 154 39
129 128 10
69 4 37
114 13 36
37 170 -44
163 28 -43
164 96 4
54 87 -50
106 30 -22
26 137 2
71 22 17
36 119 26
137 70 28
85 136 26
27 185 -29
10 145 -21
131 133 -9
114 90 18
65 47 -50
168 21 28
147 112 10
1 102 17
99 45 -26
69 176 14
47 16 -37
106 136 -47
117 113 -24
151 130 5
168 169 -25
153 77 -12
0 25 -7
118 162 -16
119 84 -5
70 37 13
166 111 -6
126 145 28
38 137 -14
91 66 17
36 39 26
153 115 1
54 130 -39
176 66 -29
97 67 -1
185 122 -18
10 169 15
148 45 -5
181 109 -22
145 100 -34
43 94 -38
182 50 41
104 64 -10
41 2 -47
160 87 -41
2 125 34
115 119 18
61 148 13
45 3 -33
116 180 -21
51 32 -26
167 150 -23
21 31 -20
57 93 -15
85 148 -36
14 47 -32
181 179 -36
96 106 -47
158 76 28
86 169 36
104 55 13
149 42 -7
54 186 23
77 23 -46
40 39 -15
81 69 7
91 74 15
77 180 -50
129 78 -25
79 36 8
134 99 34
27 128 38
47 149 -33
171 185 -9
99 43 36
140 144 -5
93 37 -48
128 87 -4
1 138 -37
10 116 36
68 58 -30
81 55 8
2 82 -48
101 11 -44
27 4 23
118 170 -43
170 47 -50
65 74 46
140 55 32
93 83 -44
146 77 -38
134 28 4
129 50 -2
149 29 -50
57 96 10
166 7 11
36 20 -1
14 83 -34
141 84 -47
147 174 -32
110 6 -6
112 92 18
180 78 22
174 56 10
54 79 -16
12 186 -17
119 24 43
54 95 -41
184 78 -26
136 64 -22
126 120 12
175 14 -20
110 43 20
145 155 -48
81 18 31
104 185 -12
112 175 -36
11 176 5
185 113 -40
77 125 -4
11 119 49
160 104 -15
27 67 1
114 135 19
61 2 11
8 21 -20
158 65 -41
134 135 -2
60 142 -45
5 1 1
19 143 -40
154 171 -1
15 138 7
59 145 22
105 80 -4
118 172 14
155 95 -36
35 82 7
140 135 -40
43 156 -32
9 118 5
102 150 -44
114 126 -41
23 27 -40
181 39 -28
95 160 24
155 62 -31
173 149 29
162 124 25
114 174 44
4 141 34
33 149 11
57 53 -38
156 37 18
181 56 2
11 101 -30
85 151 42
117 181 20
79 133 -49
15 40 -45
176 2 -50
141 104 1
48 70 27
37 68 -35
171 26 -15
115 138 39
138 16 -11
182 150 29
84 158 41
88 165 -21
177 186 -47
49 71 -9
177 2 3
98 101 18
15 163 35
14 152 -2
52 59 17
117 21 48
142 185 41
58 100 -34
38 16 44
185 121 -13
109 107 -24
166 103 -10
16 47 -49
108 134 -11
106 77 -23
68 42 12
156 61 -6
89 104 -29
155 178 -50
74 82 32
54 174 48
140 168 -44
20 21 -20
39 151 5
31 0 30
93 33 49
29 184 11
96 61 21
80 107 24
98 24 -6
81 163 -17
18 89 25
66 107 16
136 134 13
11 79 41
26 75 15
110 156 4
136 103 -11
64 97 9
114 86 -3
64 91 -43
163 123 -20
100 92 -48
145 148 21
116 146 -37
26 1 -21
171 50 45
51 41 -7
54 33 5
52 104 9
178 151 -39
0 22 -47
151 175 12
156 107 2
64 55 16
10 98 -4
35 84 15
164 35 11
71 52 -10
7 149 39
128 23 26
73 100 46
28 111 -31
13 128 23
79 130 8
64 101 21
155 132 22
168 154 47
93 101 -12
165 117 20
135 50 23
50 22 -26
113 93 -34
62 9 15
107 21 43
62 160 26
59 124 -47
131 158 -50
102 67 -13
152 98 45
132 6 28
68 18 -28
35 99 -20
32 124 18
117 137 35
84 69 -32
90 106 10
165 100 8
37 125 12
6 115 -37
10 66 -9
185 91 -40
148 85 -38
94 26 -13
115 70 9
63 41 48
126 124 -5
118 92 -46
165 152 -37
83 107 20
131 161 5
104 133 23
100 97 49
10 44 43
106 148 -41
158 164 26
61 50 -40
54 182 -39
19 58 -9
29 178 12
63 81 15
105 115 -37
139 27 -10
80 186 30
74 97 34
101 121 -5
121 51 8
85 149 -42
52 82 6
185 183 -45
89 155 -30
157 141 3
177 117 -50
163 119 22
80 14 -28
20 75 -46
84 168 9
90 98 -33
96 28 -8
89 96 22
41 62 42
34 78 31
90 75 -38
82 102 -33
120 82 36
130 120 -16
121 78 -7
186 96 43
163 146 -28
136 171 31
121 17 45
91 98 18
0 93 -25
32 128 24
119 186 -28
93 115 41
129 153 1
50 97 -7
162 142 37
172 6 -24
68 48 -16
48 147 -37
114 4 -31
89 91 19
24 38 10
95 22 33
0 138 10
98 38 27
18 102 43
58 177 48
96 83 25
89 173 -43
80 94 19
120 48 -18
146 177 28
98 103 -4
89 67 27
168 178 9
170 158 41
21 11 -43
143 119 42
26 25 -4
64 8 -39
43 29 -20
1 74 30
14 19 21
166 72 -43
26 20 20
56 46 1
164 97 39
97 185 -1
56 112 34
165 8 30
166 106 -16
106 56 37
14 30 22
119 52 20
58 185 -18
92 143 38
51 80 -45
94 134 -36
172 78 6
12 137 10
18 167 -10
81 173 18
150 76 -39
127 9 -23
140 32 -44
141 80 47
145 90 -1
21 36 -32
86 185 -38
77 157 45
90 74 -41
147 56 19
121 31 2
12 128 49
2 102 -7
136 61 -13
128 172 -6
12 95 7
46 37 30
121 74 -27
84 129 30
