640 5342
513 120 42
98 471 -19
239 530 4
58 273 13
433 250 15
305 493 -31
595 22 -19
284 523 35
285 612 42
337 395 24
461 516 -15
268 148 42
99 386 -43
632 447 -13
309 65 -39
523 4 -23
454 265 -37
267 81 5
618 578 -47
73 388 -43
602 48 44
162 216 -5
17 373 -10
382 426 -1
211 358 32
54 612 -12
497 454 -10
89 58 -3
498 166 41
96 587 32
496 581 43
157 131 -24
20 110 6
447 538 -39
566 621 -6
340 602 -43
94 343 -8
260 290 -33
483 392 9
35 189 -24
17 199 -49
400 549 -22
630 439 48
453 143 -23
110 330 30
323 164 6
324 406 -18
283 116 -21
462 263 4
601 207 -14
153 5 6
104 337 35
585 470 -39
502 400 -18
376 266 -15
34 235 34
520 246 10
585 59 -9
370 602 -32
364 545 -28
50 228 17
468 222 26
302 126 -25
296 208 -24
504 592 -9
466 170 -31
125 283 27
178 458 4
325 177 -21
570 259 -18
543 467 -1
176 250 -6
489 50 -7
414 336 45
396 288 3
58 10 8
613 429 -47
334 359 -4
396 45 -36
182 230 -22
324 135 28
359 353 9
384 67 -5
415 14 -22
307 513 -44
72 477 37
546 340 -21
533 275 -29
154 181 -22
338 602 3
132 348 7
161 368 -48
102 483 34
612 345 15
426 580 -10
586 392 -28
103 226 -47
513 40 -25
320 349 -49
322 51 -39
609 173 -2
3 578 36
494 382 41
551 399 -32
131 218 -28
463 196 -14
290 237 -24
617 500 -23
336 127 4
9 108 -19
154 147 -28
151 342 -20
16 353 -10
510 343 3
569 262 15
358 457 1
255 59 10
425 162 23
276 295 -33
503 428 -34
331 465 -34
396 487 -26
154 246 -10
160 245 43
145 545 -22
334 29 9
551 131 34
75 287 -12
510 31 -10
362 528 -47
433 394 24
3 314 -5
12 417 11
521 389 49
276 292 -4
22 23 -36
480 354 -10
249 246 -24
515 544 -41
604 151 -28
69 170 2
575 493 -30
22 632 26
414 408 46
592 19 -13
207 264 -14
627 103 3
282 131 -15
153 494 27
356 273 14
35 416 -5
556 637 -49
410 589 -24
114 447 9
122 289 -1
143 304 11
174 418 33
192 533 22
42 46 -33
73 573 34
432 142 8
284 606 -13
621 98 -3
45 456 -43
181 572 30
46 331 -38
597 487 46
386 296 40
496 116 -31
630 435 -48
57 335 -24
458 305 -49
426 308 13
217 236 43
198 259 -15
38 40 -20
227 513 13
477 211 21
40 223 -48
349 332 -24
401 453 29
382 477 7
605 104 6
259 131 -44
507 88 -36
289 607 45
413 30 11
63 176 37
441 553 -4
429 106 -27
111 115 39
173 407 1
595 127 26
193 580 23
210 486 -40
107 626 4
123 352 -14
521 524 -17
398 48 14
312 411 -2
113 539 -9
561 629 -30
416 549 -18
575 223 -6
506 362 18
4 165 -25
327 30 28
121 611 -11
517 312 41
534 306 34
54 26 -12
569 318 -34
483 9 32
292 193 11
605 621 25
586 283 -46
554 511 -49
5 68 41
350 24 -22
443 17 17
173 257 -34
577 598 -50
402 64 8
324 138 -22
162 638 -38
327 317 35
446 450 41
73 84 -12
473 344 -22
69 516 -31
477 108 -10
515 79 30
413 101 35
152 187 3
19 462 -39
70 315 38
178 407 24
491 596 40
51 183 -28
102 293 -21
498 68 42
484 548 12
118 451 20
315 502 -32
396 520 -25
513 123 38
66 538 43
332 417 4
482 334 -10
266 489 -15
282 60 -49
529 368 -5
7 118 36
39 279 29
431 384 -15
217 625 -5
347 409 -38
153 582 -38
523 163 -49
82 138 38
76 625 -4
398 367 16
94 5 -31
47 30 33
49 476 25
278 382 -50
111 247 -11
108 611 -35
205 263 28
571 309 -40
552 56 3
54 202 6
229 48 -37
181 546 31
327 263 17
111 273 -44
7 13 3
66 70 -12
165 602 32
597 497 -37
97 465 22
284 202 -14
45 565 -40
75 615 6
322 212 -47
524 231 13
227 414 -45
56 554 -32
313 218 -47
36 345 33
21 181 8
403 560 -12
79 629 33
274 264 -40
555 488 28
9 485 22
105 397 21
407 189 39
271 204 -11
445 497 32
415 388 47
449 527 36
55 429 -17
284 266 15
115 298 -8
259 146 29
480 42 23
465 484 -4
530 93 37
35 155 -27
306 614 -34
610 275 29
295 356 26
242 560 -13
118 148 48
475 360 -1
27 259 -13
200 392 -24
557 270 36
375 335 15
466 373 -30
314 35 -25
152 483 27
350 562 -20
122 525 -28
481 129 -43
603 127 10
2 260 -37
391 113 22
336 632 42
197 387 40
157 226 -46
452 380 15
26 550 41
436 426 -22
337 476 11
12 440 -38
262 526 -43
284 349 -31
101 217 -27
286 126 -24
89 456 1
430 605 26
160 545 -19
407 562 35
70 344 26
29 402 -12
205 637 -44
1 551 -9
124 296 -12
5 380 40
594 258 5
272 19 -25
212 25 19
493 189 -25
630 627 -5
116 440 -46
157 445 24
116 329 -15
437 460 -32
466 408 -44
398 551 -43
528 564 3
202 100 -37
342 91 -34
336 107 -38
633 159 -22
322 562 -40
491 455 -47
301 170 -35
557 70 -37
319 185 15
530 611 42
610 333 -7
405 177 14
345 7 1
472 561 45
516 218 27
78 253 34
20 223 8
617 527 21
282 620 -34
11 206 48
135 255 29
74 50 16
575 69 -27
541 348 25
18 133 -49
172 198 32
250 518 -48
157 415 14
321 499 6
228 45 36
164 7 -16
553 288 -13
331 345 14
128 475 -35
637 73 -9
211 486 -5
169 154 -13
507 595 -15
468 144 1
416 514 47
220 79 46
281 585 -5
601 533 -12
436 447 39
327 465 -18
470 476 -30
266 354 -45
531 369 -46
557 347 -12
512 375 -35
190 447 18
139 225 -6
208 84 -19
236 459 -33
345 464 -42
182 603 -29
558 434 -41
589 499 23
148 73 -47
548 348 22
225 259 11
169 45 18
495 321 48
413 356 34
539 14 26
110 313 -16
63 555 -11
12 91 22
579 31 -42
426 345 31
87 236 -48
1 427 -10
567 360 -23
607 620 47
604 270 -34
214 99 24
167 10 42
253 432 -4
178 539 -34
633 11 16
275 188 32
497 410 -2
132 140 25
337 145 -7
490 395 35
98 604 -30
379 489 8
66 214 47
71 72 -27
516 251 -38
519 627 23
83 605 -28
337 521 2
13 19 47
331 259 21
504 154 -22
566 206 -3
333 561 35
49 255 -36
627 476 3
588 460 -5
611 468 10
529 619 12
347 351 -43
205 206 -23
529 136 30
7 163 -36
199 248 -26
565 64 2
185 423 -49
472 305 40
524 357 4
195 462 -4
617 438 49
520 449 -50
554 313 -41
529 433 33
280 608 -8
4 569 -20
206 105 -49
472 19 -30
381 538 -29
111 366 -12
505 254 -36
76 528 -13
252 604 2
148 377 11
582 224 -7
25 357 -4
73 639 -31
239 304 38
209 195 -11
384 174 25
17 321 14
223 569 32
315 56 -26
281 79 42
91 89 -25
116 64 33
211 219 -4
173 509 19
374 192 13
217 465 41
472 541 26
56 93 35
531 389 -30
103 201 9
353 182 40
129 210 -14
123 212 2
78 111 -10
357 304 -24
222 349 -47
98 140 12
233 551 17
351 155 -28
528 422 -6
227 131 -25
549 590 38
402 336 9
191 160 46
13 607 -44
533 298 42
500 364 5
283 337 -4
418 26 -36
157 257 -17
429 468 35
279 182 47
616 283 -25
577 593 6
455 616 15
587 206 32
160 116 -44
401 551 41
488 206 39
110 310 -23
28 453 41
188 272 15
578 355 -23
374 122 39
117 563 31
54 308 -10
277 328 -5
340 500 43
98 141 30
527 395 24
467 399 -39
87 341 -40
300 516 -50
474 431 38
362 264 41
421 329 21
454 13 -42
447 89 13
39 565 -26
89 448 -43
385 222 -25
422 623 -46
317 463 30
452 464 45
485 522 46
520 578 -14
493 122 -29
203 574 33
419 449 7
348 478 -36
329 148 -39
610 292 28
47 176 17
290 2 -41
154 541 -46
171 308 -26
371 378 43
152 55 -12
104 204 -26
55 547 -12
551 601 16
544 438 -10
479 298 23
324 604 16
401 584 -50
216 164 32
454 175 6
287 325 8
137 169 -47
54 376 -27
117 136 -2
282 135 31
215 432 10
247 67 -27
283 616 -48
253 225 43
487 511 6
276 366 -21
105 347 -30
491 547 -42
149 546 -19
7 11 -35
143 627 10
121 3 -25
439 11 2
436 576 46
478 14 -20
463 418 -20
107 88 -37
2 311 -1
221 171 24
212 512 38
18 494 48
226 49 -47
535 134 -12
164 580 16
104 574 -24
286 283 -48
580 67 -19
528 389 -10
621 17 21
301 182 -15
345 145 20
139 624 33
102 461 -38
409 458 -29
93 606 -28
249 372 -44
261 544 -24
225 175 3
229 405 42
409 161 46
46 463 43
370 624 36
422 123 23
407 151 -29
476 423 -7
201 530 -14
300 173 48
184 417 -47
554 520 5
433 122 29
305 193 4
554 361 -35
118 273 -26
157 630 -3
273 127 -42
239 79 -13
552 371 -8
42 347 28
483 450 -5
367 219 14
25 94 35
59 211 -24
554 632 47
288 90 28
407 138 -29
441 450 11
304 315 35
90 269 -13
398 107 -35
622 455 29
123 403 -2
579 388 -23
73 637 -33
390 485 13
353 210 -3
348 530 -29
94 304 -24
554 204 -29
190 530 -10
302 97 -19
176 376 -29
449 186 -46
463 85 -15
29 173 -15
279 123 -46
588 260 3
31 66 3
80 278 26
34 608 -24
485 58 -50
165 384 28
578 406 8
5 569 -38
477 238 45
120 313 39
624 283 -41
150 533 -17
376 157 39
35 310 45
550 54 20
506 300 -46
462 558 2
624 249 16
613 47 6
583 416 -14
342 453 44
35 360 29
135 180 27
443 458 -33
133 590 47
271 269 46
11 196 27
301 579 10
610 164 35
329 439 39
577 521 -48
299 488 -29
299 75 -31
545 452 30
484 543 -29
460 516 -7
185 311 -27
293 34 -23
382 638 -45
205 530 35
433 592 -28
471 478 -46
111 137 5
80 422 28
97 265 14
634 603 -6
21 447 44
315 114 4
175 549 -34
124 44 49
527 387 -6
562 237 -45
306 143 46
393 5 13
290 530 17
185 278 -10
491 94 12
564 338 -31
69 392 48
370 479 -20
278 491 46
75 114 43
64 279 45
118 558 21
34 151 30
190 390 27
504 590 3
474 5 15
73 293 29
436 107 -17
334 138 2
200 458 -37
320 567 -29
306 208 33
174 4 31
448 297 -2
279 497 -35
496 489 14
556 127 7
626 157 14
164 176 3
579 72 5
464 20 16
322 406 43
289 494 -3
41 469 -40
251 164 -41
225 574 -12
222 61 11
636 348 39
619 481 45
394 476 -16
152 100 33
318 332 23
353 129 -4
232 226 -10
625 289 -50
517 264 -30
106 520 -25
11 266 -3
385 132 46
267 605 34
195 185 -50
10 547 15
273 237 -49
349 284 -45
94 34 -36
65 498 -19
624 554 12
38 586 -18
394 73 -42
304 316 12
614 312 -40
544 506 44
311 638 -15
500 105 -24
206 413 46
287 196 29
223 327 24
109 75 42
72 615 -14
321 86 -42
521 362 28
244 5 24
404 588 -22
318 48 21
239 162 -38
63 399 8
514 102 24
80 501 -19
328 362 39
348 222 22
398 529 18
583 229 9
168 487 -9
335 297 41
16 619 -8
308 495 2
396 125 12
209 462 -4
537 368 -47
567 107 1
379 121 -14
47 603 -14
482 185 -35
496 110 -50
334 478 31
323 562 -33
486 87 16
135 62 -12
409 598 -35
410 204 -21
535 601 -3
96 620 11
426 191 -28
426 295 26
181 223 47
615 9 33
310 343 -5
54 450 -11
579 225 35
251 378 -40
540 142 -13
283 520 -42
2 493 4
458 239 -6
467 615 27
170 559 10
18 500 -36
196 563 30
492 520 -48
574 639 -31
447 184 28
331 362 -38
428 6 -11
386 557 47
270 206 -45
547 462 -8
43 443 23
276 346 21
381 175 -34
373 302 17
35 332 22
182 526 -42
564 204 18
91 636 33
168 12 -10
552 217 -44
341 325 38
131 124 -2
136 135 4
30 14 -2
243 17 3
76 36 39
597 165 30
218 482 -36
628 558 -9
466 107 -25
201 565 -46
340 600 -29
146 94 -12
397 364 -8
138 19 -5
90 286 -26
327 377 7
355 200 23
308 402 -35
87 457 -45
448 108 -38
553 466 -14
5 608 -33
285 131 7
319 299 -3
582 86 -23
528 3 39
411 287 27
40 573 7
362 130 -6
408 501 -41
164 591 48
417 492 -1
114 618 21
129 362 -22
484 121 -41
217 16 -21
227 174 -23
616 164 30
234 560 20
370 383 -43
136 575 -24
474 247 7
597 327 21
257 156 -11
304 199 -15
169 360 17
421 7 48
143 303 34
482 484 -17
551 393 -27
177 82 42
313 450 -40
356 39 7
132 166 -14
68 40 -20
190 375 39
403 51 -49
366 147 38
285 31 -3
237 596 40
178 241 -18
112 403 -48
476 516 -16
177 247 28
342 240 29
474 204 -6
90 38 -41
10 55 -28
255 321 -19
590 67 -24
16 64 8
176 496 -38
585 372 -7
626 107 -40
542 264 49
338 612 47
72 185 37
442 352 45
624 480 -26
494 453 9
634 414 -43
89 186 11
516 414 49
213 343 -29
94 105 -31
77 133 -41
463 386 -13
198 571 41
170 154 -46
396 212 14
70 188 -31
173 79 -40
545 264 -30
470 637 -19
256 288 -30
255 569 26
523 29 -30
544 487 -43
385 367 47
187 12 44
70 439 20
418 392 -35
283 587 34
392 266 -26
130 549 -19
519 371 -38
501 62 48
366 143 10
19 452 8
311 534 29
438 623 29
59 406 -4
359 444 16
330 521 -8
323 491 22
635 478 -35
158 483 41
147 138 6
556 405 33
156 301 17
320 565 -15
463 525 33
430 306 -34
37 446 35
146 117 11
113 377 -32
346 27 11
153 318 -7
394 364 -15
19 117 26
347 519 -29
245 119 11
490 324 -1
131 617 10
93 252 -4
330 536 -10
626 8 45
367 9 40
274 602 -22
256 533 25
309 579 -42
311 147 -35
471 397 -36
305 560 23
404 59 23
214 290 -9
123 342 -8
295 162 -18
337 465 -14
500 290 44
552 188 -13
506 219 -31
67 255 19
148 619 -39
354 156 -40
81 493 41
176 501 37
349 627 16
53 466 43
443 399 -21
321 601 -45
15 163 -13
372 522 -13
433 326 -1
279 546 -22
421 176 -36
436 39 44
131 409 43
135 474 -14
257 377 15
133 320 13
