278 9568
13 208 -49
181 159 -38
275 47 -20
95 101 1
79 85 22
217 265 46
117 270 -22
77 22 16
173 133 41
214 217 35
258 96 5
274 174 -15
115 166 -6
9 71 49
187 168 32
239 1 40
203 36 -22
83 65 -8
94 87 -20
222 106 -32
158 99 -10
219 87 -25
183 44 -18
27 120 20
277 220 37
107 79 -2
201 224 42
104 6 -5
75 196 25
103 80 47
0 20 -37
23 62 -28
91 162 9
112 170 3
30 107 46
54 101 48
198 260 22
256 120 -13
251 208 -27
176 147 38
117 276 -11
198 50 37
156 32 -27
111 40 -6
26 247 -4
8 78 -21
175 39 -24
125 67 -19
221 13 -37
27 191 -16
218 108 15
161 43 -19
43 52 18
8 63 -14
183 245 -1
264 176 39
31 76 -27
161 16 9
209 118 -8
150 213 48
52 0 -5
274 5 21
141 155 -33
225 185 25
94 167 24
167 266 -28
193 103 -11
97 262 10
165 60 -26
265 111 31
125 221 -46
202 271 18
240 142 -49
229 145 -38
236 84 10
6 275 -33
228 274 46
190 113 -16
64 253 -47
32 129 -13
46 215 -48
196 125 -48
2 71 -19
138 232 1
20 229 14
233 168 -45
22 4 14
271 170 -17
86 57 14
209 38 15
94 208 11
45 142 3
263 234 8
14 208 33
191 135 -18
157 193 -16
142 104 26
262 73 16
240 150 -30
41 35 -22
183 37 -18
214 25 -17
55 259 -39
147 213 48
245 44 19
167 253 -17
111 100 16
276 10 -14
63 89 30
47 42 -13
268 91 -46
126 191 34
18 227 36
251 159 25
137 245 -28
242 252 41
74 205 -33
127 190 -50
44 147 -49
150 16 -21
0 5 23
143 144 37
188 254 37
66 93 7
26 178 22
244 127 -7
81 208 -14
251 245 -20
38 259 -14
272 45 13
52 152 -16
232 58 -22
20 258 -16
178 213 14
180 144 -50
112 103 21
150 241 17
139 226 -7
87 222 37
207 97 -3
69 188 19
58 150 18
126 33 -11
71 199 26
190 41 3
147 110 -3
169 172 -29
6 165 3
96 249 -7
58 224 -20
155 84 -45
202 212 37
119 149 5
147 0 2
164 202 8
31 112 4
123 26 -2
122 208 43
146 99 32
97 250 -29
40 275 3
227 243 42
230 246 33
200 268 -31
143 241 17
123 195 -14
53 202 1
187 266 -16
62 17 -18
187 276 43
205 6 31
143 220 -14
191 126 8
202 215 -15
116 102 38
83 113 37
13 224 36
42 254 -36
37 267 -44
124 173 -17
67 69 -6
68 100 -15
217 161 -21
193 111 -9
172 91 40
28 269 10
24 103 -26
106 241 -35
78 162 19
33 58 -15
93 270 -42
260 103 22
64 262 30
189 272 -19
62 169 13
198 168 13
163 12 25
201 174 -24
141 164 3
264 172 -12
223 248 -3
259 221 -40
39 116 -30
220 273 15
115 70 -20
154 7 -21
91 229 15
277 184 -2
243 180 -35
135 12 34
184 224 1
184 277 49
35 219 -11
49 178 -11
223 5 -9
202 118 -20
239 58 -47
118 147 -35
118 151 -40
151 121 -7
227 220 43
50 57 31
60 13 34
277 259 15
210 232 48
216 136 -23
245 160 -36
212 206 -19
251 270 43
119 105 -37
80 222 47
62 6 34
244 29 -4
29 228 41
171 45 25
88 270 12
6 76 27
240 1 5
27 18 -9
262 242 38
23 248 -50
248 0 -42
40 92 35
265 92 -36
166 102 -50
54 114 41
140 47 -2
127 266 48
3 94 49
105 228 -21
60 243 -8
88 94 -2
150 270 -48
70 173 -16
235 43 32
189 235 30
152 28 48
143 50 14
221 202 30
174 180 3
106 167 9
53 261 11
228 17 36
252 12 -2
84 179 -17
3 78 -6
157 269 -50
131 225 -10
62 159 -50
239 207 -22
199 178 -12
71 254 -3
159 147 16
10 69 12
153 139 23
1 153 34
93 79 -33
150 174 -27
116 173 6
233 152 49
98 225 48
154 276 -6
273 109 -5
69 97 -20
161 243 11
19 74 -50
8 179 -8
102 233 16
226 121 -8
261 62 22
220 251 43
16 66 35
14 271 -22
189 152 29
248 198 -19
53 246 -27
154 38 -45
21 129 -34
180 188 11
35 254 -9
2 43 44
28 123 -48
169 60 -41
186 34 49
162 130 14
277 155 44
203 167 33
73 58 -22
72 138 49
119 43 -12
51 149 -33
118 143 -7
257 10 13
123 166 25
248 79 -27
191 231 -34
272 125 -33
250 94 -37
229 185 16
192 217 6
60 239 -11
193 48 32
233 101 29
11 52 -47
200 224 41
97 155 -50
3 11 -10
89 62 20
262 78 -8
222 67 -38
79 41 15
40 212 -30
131 160 -21
74 169 17
11 169 19
207 237 -26
8 246 -44
188 263 14
114 149 39
264 96 -13
141 127 -9
235 63 10
199 96 -2
140 217 16
195 208 32
73 59 -8
162 177 -5
220 31 7
144 50 -47
247 260 -30
190 176 -9
262 71 9
77 186 9
117 234 20
106 46 30
17 22 -1
5 9 21
172 64 -16
143 271 33
118 171 15
235 28 -13
137 48 11
158 45 -32
114 29 -32
233 141 33
266 185 -3
75 217 -6
14 224 -5
221 259 -40
240 75 -32
137 100 2
146 10 -21
139 53 42
115 176 32
105 219 -27
55 128 -21
113 79 -13
153 31 47
249 167 5
75 91 -31
266 184 17
222 124 17
5 177 -3
21 233 -15
179 4 -36
83 102 -19
261 263 18
183 203 28
219 93 -36
162 62 -31
165 218 13
254 18 24
267 1 15
269 184 26
164 138 6
157 221 37
63 64 11
34 248 -29
145 55 -15
274 190 30
168 119 -36
138 241 7
2 178 15
261 183 -31
31 222 -26
183 194 18
158 47 32
195 147 13
189 93 15
229 140 9
68 198 -47
237 212 -46
239 99 -20
247 208 -37
268 185 33
150 176 -5
123 61 19
84 125 23
28 129 -15
102 50 -32
44 0 33
49 205 48
130 128 -15
139 259 -29
256 47 -10
120 35 -3
102 230 22
196 61 29
272 38 -42
87 152 22
158 21 -50
111 56 -18
75 194 46
189 232 -36
143 235 39
133 177 46
240 139 -25
171 64 5
76 158 40
7 117 -12
79 227 3
34 55 -28
247 138 -23
155 268 -8
41 54 15
159 262 -9
267 238 2
276 163 13
207 221 10
211 73 -45
10 160 -12
2 142 -16
184 191 -27
189 109 17
190 57 16
214 246 -48
117 241 11
3 130 -17
81 67 -43
73 178 48
212 6 -21
63 189 23
123 81 -22
248 81 43
69 60 40
202 48 -28
86 103 44
236 1 29
11 205 -2
243 220 47
200 147 -42
224 200 34
94 20 -28
62 71 16
269 171 -30
118 39 -25
245 123 -42
203 15 -30
247 71 48
114 76 -8
6 239 -36
232 80 30
27 148 -29
151 66 49
77 276 44
262 42 44
144 29 15
98 39 30
248 214 45
0 184 -24
7 146 -13
8 51 43
70 175 -8
97 64 48
50 69 -19
276 156 -23
275 141 11
65 220 -12
18 188 2
119 85 9
144 242 -46
75 140 -43
8 189 36
26 169 -3
105 28 -14
120 22 45
222 110 36
36 158 -7
139 165 -7
115 113 2
134 142 -25
92 127 14
51 123 -45
22 215 38
149 162 -6
89 196 -13
78 38 21
41 20 -50
174 10 -45
27 76 -24
185 188 -46
131 67 2
22 230 13
136 56 -40
207 107 -6
207 217 -15
198 235 -38
176 75 36
21 81 -38
48 155 -26
134 106 9
268 207 4
105 243 -38
126 262 13
231 268 34
30 191 22
182 138 -47
56 216 42
244 210 47
66 96 -26
234 150 49
251 77 21
113 41 22
53 235 -24
187 247 -26
50 243 15
250 171 -20
276 232 20
64 215 -3
115 84 21
126 106 20
17 277 -5
153 12 -45
223 98 -38
62 208 -33
92 102 2
35 110 -19
269 239 -29
109 201 -31
150 175 12
272 25 6
98 99 36
47 147 -2
277 144 47
177 103 -15
216 237 11
182 232 28
3 17 -1
153 215 26
261 75 -2
45 163 -17
17 94 45
133 79 5
99 101 -21
28 29 -39
232 37 22
121 72 -11
236 168 15
150 15 49
120 149 -33
60 51 45
76 112 -26
103 243 -33
195 38 -1
82 260 -34
3 120 -16
43 140 18
98 146 -9
92 55 15
239 197 -50
42 248 -50
246 210 -44
177 129 4
269 121 -28
79 158 -50
244 147 6
19 246 32
113 23 -2
205 202 -50
181 263 -20
189 148 -6
105 204 17
162 145 2
186 67 -39
230 78 48
193 211 2
113 73 35
3 93 -31
258 104 -14
13 273 -30
96 25 -43
273 259 21
136 69 -34
102 64 -5
11 70 -49
69 158 38
243 221 -10
172 253 3
277 128 20
219 161 -4
219 126 28
195 86 17
227 111 -22
62 83 -1
265 273 20
69 264 -48
101 11 -11
134 226 -11
251 253 10
160 52 -9
129 263 -16
183 155 23
217 139 5
138 165 -26
111 109 -42
13 232 -42
236 179 -31
68 80 -44
199 55 -36
74 10 -42
4 224 -50
188 66 -6
223 63 -45
150 51 -49
168 178 -20
117 54 -35
157 34 32
178 155 -10
252 64 28
181 190 -22
30 230 -25
277 130 -22
27 212 3
272 90 -37
83 74 10
118 89 -37
123 38 28
21 194 42
8 155 12
33 141 48
249 257 -12
71 22 31
121 139 -23
78 124 26
71 46 43
0 52 -49
235 181 -4
168 181 41
237 124 34
25 110 -49
23 188 41
95 34 -47
120 124 -41
19 226 23
219 241 16
89 221 34
252 248 -14
96 205 -13
263 32 -1
94 230 -38
230 244 7
238 63 -15
0 33 -24
148 232 -12
129 148 -40
194 271 18
107 49 -13
260 182 -34
204 173 29
90 109 -1
119 231 -45
28 144 -37
90 125 -31
269 124 47
159 144 19
254 7 -49
3 191 38
225 200 -18
102 73 -10
86 196 12
48 113 -18
25 5 13
232 97 -48
40 161 2
216 197 32
13 132 -26
80 226 32
52 111 -7
264 95 46
238 81 -15
95 177 -41
105 15 -38
229 223 48
31 70 20
261 273 10
271 132 -8
33 267 -1
114 115 -33
52 89 20
262 198 -8
41 232 16
3 205 -25
45 250 15
29 209 -28
261 90 -32
129 182 9
42 7 -31
210 129 -26
20 132 -16
47 86 -28
212 147 -37
172 28 40
4 168 -42
219 109 32
59 144 27
259 70 -43
175 6 33
151 18 39
170 30 -45
203 182 31
248 113 -50
217 135 -26
222 176 -18
107 6 -40
223 134 31
216 145 8
1 40 -11
59 256 23
265 263 28
20 259 -17
239 181 47
2 244 -33
87 102 25
241 0 39
259 56 -37
138 121 2
238 158 -32
151 201 -45
224 175 -43
102 218 28
127 199 33
98 163 -36
109 222 -15
137 239 -41
183 80 36
264 22 32
146 127 -45
115 244 -15
23 210 1
170 197 -40
127 220 -8
84 201 -31
90 62 -22
148 151 22
52 104 27
71 77 42
130 262 29
88 59 -50
200 69 -20
125 26 31
41 191 -12
237 227 -30
118 277 46
79 91 23
67 98 31
53 69 32
75 211 -18
141 22 -47
83 167 9
54 66 -49
238 146 16
132 180 21
196 49 -36
160 276 46
109 151 20
270 64 -5
58 116 32
204 166 46
95 86 -8
164 78 18
273 265 -25
271 166 -27
165 105 -17
36 209 -23
118 59 24
76 261 7
161 101 -25
257 77 49
82 272 36
93 183 40
218 38 29
106 204 -46
13 7 -23
72 92 31
222 247 19
259 93 33
183 18 3
220 140 2
114 138 -1
130 65 31
246 116 -19
1 177 20
158 59 19
219 103 -28
47 40 8
199 173 -49
274 93 -21
75 94 -45
228 60 -4
122 4 -32
26 70 -11
249 239 -10
35 191 -23
63 119 -8
255 49 -27
126 115 7
238 235 30
252 195 -47
64 162 -16
191 84 24
257 265 7
193 112 -49
163 142 -37
181 1 -47
16 175 18
148 72 42
5 232 -13
48 16 39
182 234 -27
253 9 -43
213 263 3
134 222 -45
184 1 45
79 245 -10
46 92 -46
126 6 -46
70 262 23
256 276 -47
3 241 -33
269 62 -1
78 73 -36
263 26 -47
64 117 -38
12 184 29
261 182 -34
73 257 15
247 204 41
70 75 29
63 46 -28
79 77 45
113 225 -1
11 268 5
228 11 -4
105 118 5
87 242 18
106 26 -3
21 155 -42
50 156 -32
121 177 31
18 92 -5
33 144 45
209 267 -38
102 155 42
70 67 37
198 214 5
104 24 -19
108 97 9
108 174 3
131 19 47
121 230 38
257 207 -4
55 137 -6
225 215 41
6 77 20
271 44 10
226 37 25
199 73 7
259 252 23
123 132 40
27 127 18
259 132 4
125 187 48
141 97 3
144 66 45
145 273 -37
232 66 -12
102 61 45
240 107 2
16 125 5
17 213 47
111 82 17
183 236 9
269 159 18
138 213 24
231 132 28
175 40 -16
277 98 -44
257 30 -6
170 115 20
256 127 -32
176 203 -48
222 148 -50
176 45 40
24 2 8
182 12 41
141 209 -31
176 59 17
119 128 48
62 99 31
106 228 49
14 220 15
188 176 9
97 35 33
12 140 4
243 228 9
186 238 -37
185 273 20
11 177 12
194 90 36
56 80 -4
13 253 -8
126 140 -43
200 274 -11
21 170 -24
51 233 -47
87 190 49
136 140 13
177 26 -41
124 75 10
144 64 24
82 229 -28
150 91 -34
23 21 48
104 202 37
25 138 2
212 268 -14
234 26 24
183 112 4
111 259 -46
14 55 -17
75 3 -47
170 257 -16
88 237 -48
96 193 11
99 109 -31
108 235 2
203 102 19
63 68 35
229 98 21
1 277 39
106 149 21
68 271 -10
243 179 -36
261 137 -2
216 168 24
145 95 13
169 204 23
46 67 -32
15 83 7
16 54 -14
249 256 40
254 226 16
83 54 35
260 94 34
227 163 -5
41 131 -16
11 147 -28
110 143 -7
258 51 10
89 183 -25
180 121 -17
95 10 -2
194 16 31
112 125 22
244 228 -23
111 51 1
248 170 -24
276 58 45
