582 5651
3 316 -42
420 442 11
157 261 45
208 367 -3
430 509 -2
266 207 -36
423 386 11
411 540 -9
347 122 -21
146 279 -20
514 476 24
415 65 -7
218 19 21
55 160 15
519 331 -35
29 283 -24
424 395 -5
578 419 -39
31 183 -19
436 91 43
270 425 -37
151 44 -31
74 409 -1
527 218 -33
563 387 28
167 477 -20
503 320 -29
141 263 -31
282 392 6
463 179 -35
514 246 1
276 567 -42
392 502 -44
109 59 -30
502 493 -6
287 153 36
202 215 15
207 485 -36
123 295 -47
428 129 -2
263 15 31
331 378 -7
96 568 -30
314 342 -25
136 580 33
399 158 -24
269 507 -35
190 540 -3
131 161 -31
139 112 31
328 305 37
292 13 49
546 444 25
303 376 -16
434 416 -16
123 6 15
475 174 -14
449 392 -23
479 359 -48
123 552 -37
501 97 -46
518 24 2
142 377 44
356 240 18
11 103 -44
8 487 -18
159 483 41
547 217 -41
237 369 40
229 502 -18
32 279 39
80 227 -49
160 249 15
476 505 41
435 372 -28
513 541 -20
156 273 -24
415 552 -12
98 53 -31
440 437 -41
486 384 5
302 550 -9
519 350 33
1 115 -11
124 29 -3
323 19 11
509 5 19
111 527 -5
236 8 22
336 51 -49
21 581 35
438 455 -19
523 494 -33
41 490 -43
508 499 -27
147 392 41
94 26 44
358 118 45
555 457 -38
162 6 -22
27 540 -10
515 494 9
506 73 -5
339 437 1
92 552 -9
359 5 5
116 178 16
370 508 8
303 522 -18
515 338 6
310 10 -10
329 69 1
548 411 20
222 407 41
373 535 -15
348 435 2
280 521 -44
282 5 -31
473 534 14
273 470 42
177 172 16
72 576 -33
192 415 1
65 61 45
458 20 2
7 421 -17
107 459 -36
231 232 21
188 398 -23
247 507 49
494 437 20
371 538 45
496 539 45
453 90 2
388 55 24
356 482 -16
463 23 -29
419 270 -9
0 45 20
112 324 -30
227 500 -24
156 201 20
176 170 -26
499 106 47
82 216 -30
187 356 34
297 301 21
286 446 21
390 441 -23
290 35 -13
286 394 -40
38 454 8
233 263 -15
456 227 31
331 521 22
383 258 41
318 41 14
218 67 -40
105 538 49
441 37 -28
474 136 -1
81 98 37
549 441 -8
314 112 -33
260 488 -17
433 563 -36
211 197 38
20 245 -20
492 254 -10
539 0 40
352 574 40
388 527 44
1 193 45
92 44 10
400 413 -17
130 241 -10
502 44 43
70 376 44
518 543 4
463 176 -38
413 343 -4
453 430 1
258 289 1
334 250 1
212 498 23
51 8 41
91 76 -11
503 562 -49
145 401 -13
559 500 15
162 62 40
511 68 17
289 121 -2
451 45 -48
179 111 21
273 480 34
278 382 -1
212 81 40
544 253 33
475 327 -3
90 200 6
423 252 -11
432 275 -11
183 336 4
437 406 42
200 249 -19
280 261 40
494 209 44
473 365 -13
365 485 -16
296 451 11
254 189 4
323 42 -46
297 403 -10
273 511 21
316 41 -22
105 366 43
223 442 47
263 121 36
398 406 13
86 34 -22
480 288 -35
182 475 -11
86 191 -3
417 450 -27
97 465 -4
7 549 32
119 136 32
147 307 38
287 387 9
492 219 -43
314 408 -48
199 425 9
507 250 37
125 198 -33
505 285 23
217 443 46
563 47 -15
486 278 37
407 402 -49
116 234 -3
338 523 26
162 147 -23
229 373 13
376 316 -6
568 227 -42
503 103 -19
434 96 30
29 486 16
138 561 -49
68 242 -44
41 484 -25
206 125 6
193 16 37
449 374 49
368 509 -46
213 438 10
487 316 -17
286 510 37
266 478 -27
155 477 -38
298 12 24
379 277 23
415 261 28
452 4 16
321 491 43
334 238 18
506 145 48
160 424 -10
155 261 13
205 46 -26
514 350 -45
259 527 31
122 310 -18
277 369 -45
177 358 7
261 541 -27
518 504 2
459 239 -49
113 358 -15
536 53 -8
435 161 -49
21 147 40
138 179 -29
191 179 8
36 245 -8
520 133 31
3 101 46
116 326 44
189 397 3
266 194 36
76 257 -5
266 160 3
390 134 12
214 126 13
508 565 34
419 292 -25
104 461 13
518 178 29
241 23 -3
168 437 28
381 375 5
491 347 -33
309 326 -6
1 163 -37
447 208 40
476 329 13
183 165 3
312 407 38
310 546 -38
503 171 -19
19 451 40
475 289 14
226 573 -3
98 195 -50
176 338 -17
139 191 -49
507 478 5
125 27 26
354 162 -4
546 192 -2
185 572 11
304 98 20
532 429 -44
152 328 11
30 16 22
523 430 29
301 312 33
103 40 10
519 492 13
536 571 -27
227 375 -24
469 60 -5
537 434 -18
487 215 -36
493 452 -34
463 327 3
348 76 -7
452 191 7
242 224 -27
450 408 -30
153 128 -31
325 373 -18
576 164 18
530 555 49
100 303 -13
372 109 -2
379 543 8
10 518 -1
176 196 13
311 181 -7
432 93 -39
519 341 -41
309 543 -39
85 70 14
25 7 -35
188 381 17
434 363 -22
242 465 -16
149 428 -31
304 496 33
95 455 42
257 211 14
321 265 -40
195 499 4
54 472 -10
464 9 22
565 358 -31
38 544 -13
375 230 12
260 263 -32
267 282 32
39 291 -20
547 77 -2
132 368 -9
110 155 -21
289 120 15
186 125 -50
466 212 -22
180 150 -11
233 50 13
89 278 -4
281 539 26
19 262 -10
48 209 9
264 190 -17
138 41 -18
62 96 -14
538 563 -36
487 264 -2
202 212 -40
183 381 24
51 274 -41
184 556 39
363 541 30
297 540 26
124 324 28
299 138 39
154 219 42
251 300 -29
46 10 8
222 28 -42
347 163 -8
210 466 2
123 551 17
253 24 43
302 498 2
489 88 -44
115 66 36
505 352 -11
382 445 -43
462 449 -23
12 230 7
453 398 -35
535 45 -25
11 149 42
190 137 22
144 475 -45
488 172 -32
73 551 36
156 319 11
98 567 40
402 327 7
198 242 29
341 289 5
542 221 46
31 4 42
173 460 9
129 421 38
2 339 -16
207 141 27
473 33 -3
172 468 21
163 219 29
322 129 -1
280 336 -45
284 336 -5
573 579 -49
425 132 -1
215 315 -26
206 335 -35
390 281 33
438 220 24
335 580 -9
581 342 4
271 317 -11
445 313 30
407 327 -43
33 102 20
233 488 -13
246 36 -44
408 358 36
193 419 20
576 506 18
102 371 -2
216 233 3
289 308 21
451 187 6
333 318 -24
288 358 12
351 169 49
494 509 -18
0 173 22
478 319 -15
160 167 -34
424 146 28
393 545 -27
470 46 -15
252 397 30
404 244 46
104 212 4
523 69 29
536 543 40
246 130 -30
222 95 34
214 45 -26
498 384 24
469 20 34
298 121 1
375 303 44
554 199 10
135 151 -34
531 108 -43
20 203 29
373 537 37
50 137 -10
476 541 22
222 140 -2
48 60 -15
458 80 44
325 109 14
272 116 -22
62 12 24
393 454 28
281 467 40
477 438 28
564 402 36
65 450 45
487 457 -39
506 521 -16
225 436 12
516 515 44
235 79 -30
468 276 22
11 493 39
260 513 -46
160 188 39
571 476 -22
431 486 -16
63 501 -34
10 385 35
365 183 -4
224 137 -11
164 547 25
385 188 -36
487 275 40
133 272 -29
346 298 -47
515 113 -6
374 553 34
288 31 -16
125 423 32
176 426 -28
484 544 -41
550 53 37
351 509 -11
162 296 -24
164 163 -35
241 43 -11
21 216 -50
209 485 -35
37 2 -10
426 567 27
427 532 1
87 321 3
101 34 11
163 104 -4
248 519 -30
281 487 -2
502 327 -36
